Date,AQI,City
1/1/2021,184,Ahmedabad
1/2/2021,175,Ahmedabad
1/3/2021,169,Ahmedabad
1/4/2021,233,Ahmedabad
1/5/2021,194,Ahmedabad
1/6/2021,179,Ahmedabad
1/7/2021,158,Ahmedabad
1/8/2021,171,Ahmedabad
1/9/2021,173,Ahmedabad
1/10/2021,157,Ahmedabad
1/11/2021,155,Ahmedabad
1/12/2021,162,Ahmedabad
1/13/2021,148,Ahmedabad
1/14/2021,139,Ahmedabad
1/15/2021,172,Ahmedabad
1/16/2021,193,Ahmedabad
1/17/2021,231,Ahmedabad
1/18/2021,183,Ahmedabad
1/19/2021,201,Ahmedabad
1/20/2021,238,Ahmedabad
1/21/2021,184,Ahmedabad
1/22/2021,213,Ahmedabad
1/23/2021,151,Ahmedabad
1/24/2021,189,Ahmedabad
1/25/2021,164,Ahmedabad
1/26/2021,159,Ahmedabad
1/27/2021,158,Ahmedabad
1/28/2021,164,Ahmedabad
1/29/2021,166,Ahmedabad
1/30/2021,142,Ahmedabad
1/31/2021,154,Ahmedabad
2/1/2021,169,Ahmedabad
2/2/2021,209,Ahmedabad
2/3/2021,222,Ahmedabad
2/4/2021,193,Ahmedabad
2/5/2021,151,Ahmedabad
2/6/2021,143,Ahmedabad
2/7/2021,126,Ahmedabad
2/8/2021,149,Ahmedabad
2/9/2021,242,Ahmedabad
2/10/2021,190,Ahmedabad
2/11/2021,233,Ahmedabad
2/12/2021,197,Ahmedabad
2/13/2021,220,Ahmedabad
2/14/2021,223,Ahmedabad
2/15/2021,156,Ahmedabad
2/16/2021,167,Ahmedabad
2/17/2021,202,Ahmedabad
2/18/2021,148,Ahmedabad
2/19/2021,132,Ahmedabad
2/20/2021,135,Ahmedabad
2/21/2021,150,Ahmedabad
2/22/2021,208,Ahmedabad
2/23/2021,214,Ahmedabad
2/24/2021,222,Ahmedabad
2/25/2021,150,Ahmedabad
2/26/2021,151,Ahmedabad
2/27/2021,123,Ahmedabad
2/28/2021,145,Ahmedabad
3/1/2021,144,Ahmedabad
3/2/2021,155,Ahmedabad
3/3/2021,159,Ahmedabad
3/4/2021,204,Ahmedabad
3/5/2021,239,Ahmedabad
3/6/2021,189,Ahmedabad
3/7/2021,135,Ahmedabad
3/8/2021,171,Ahmedabad
3/9/2021,180,Ahmedabad
3/10/2021,195,Ahmedabad
3/11/2021,193,Ahmedabad
3/12/2021,139,Ahmedabad
3/13/2021,163,Ahmedabad
3/14/2021,146,Ahmedabad
3/15/2021,127,Ahmedabad
3/16/2021,135,Ahmedabad
3/17/2021,133,Ahmedabad
3/18/2021,159,Ahmedabad
3/19/2021,198,Ahmedabad
3/20/2021,216,Ahmedabad
3/21/2021,213,Ahmedabad
3/22/2021,182,Ahmedabad
3/23/2021,183,Ahmedabad
3/24/2021,126,Ahmedabad
3/25/2021,119,Ahmedabad
3/26/2021,155,Ahmedabad
3/27/2021,143,Ahmedabad
3/28/2021,160,Ahmedabad
3/29/2021,116,Ahmedabad
3/30/2021,107,Ahmedabad
3/31/2021,145,Ahmedabad
4/1/2021,127,Ahmedabad
4/2/2021,150,Ahmedabad
4/3/2021,170,Ahmedabad
4/4/2021,155,Ahmedabad
4/5/2021,132,Ahmedabad
4/6/2021,162,Ahmedabad
4/7/2021,112,Ahmedabad
4/8/2021,103,Ahmedabad
4/9/2021,137,Ahmedabad
4/10/2021,158,Ahmedabad
4/11/2021,150,Ahmedabad
4/12/2021,141,Ahmedabad
4/13/2021,124,Ahmedabad
4/14/2021,114,Ahmedabad
4/15/2021,143,Ahmedabad
4/16/2021,133,Ahmedabad
4/17/2021,111,Ahmedabad
4/18/2021,102,Ahmedabad
4/19/2021,104,Ahmedabad
4/20/2021,106,Ahmedabad
4/21/2021,107,Ahmedabad
4/22/2021,112,Ahmedabad
4/23/2021,102,Ahmedabad
4/24/2021,115,Ahmedabad
4/25/2021,121,Ahmedabad
4/26/2021,127,Ahmedabad
4/27/2021,151,Ahmedabad
4/28/2021,110,Ahmedabad
4/29/2021,99,Ahmedabad
4/30/2021,90,Ahmedabad
5/1/2021,87,Ahmedabad
5/2/2021,94,Ahmedabad
5/3/2021,77,Ahmedabad
5/4/2021,90,Ahmedabad
5/5/2021,87,Ahmedabad
5/6/2021,90,Ahmedabad
5/7/2021,89,Ahmedabad
5/8/2021,96,Ahmedabad
5/9/2021,89,Ahmedabad
5/10/2021,81,Ahmedabad
5/11/2021,79,Ahmedabad
5/12/2021,88,Ahmedabad
5/13/2021,88,Ahmedabad
5/14/2021,88,Ahmedabad
5/15/2021,102,Ahmedabad
5/16/2021,103,Ahmedabad
5/17/2021,70,Ahmedabad
5/18/2021,72,Ahmedabad
5/19/2021,88,Ahmedabad
5/20/2021,114,Ahmedabad
5/21/2021,115,Ahmedabad
5/22/2021,118,Ahmedabad
5/23/2021,108,Ahmedabad
5/24/2021,112,Ahmedabad
5/25/2021,109,Ahmedabad
5/26/2021,104,Ahmedabad
5/27/2021,99,Ahmedabad
5/28/2021,87,Ahmedabad
5/29/2021,105,Ahmedabad
5/30/2021,105,Ahmedabad
5/31/2021,109,Ahmedabad
6/1/2021,109,Ahmedabad
6/2/2021,113,Ahmedabad
6/3/2021,114,Ahmedabad
6/4/2021,106,Ahmedabad
6/5/2021,113,Ahmedabad
6/6/2021,104,Ahmedabad
6/7/2021,114,Ahmedabad
6/8/2021,109,Ahmedabad
6/9/2021,93,Ahmedabad
6/10/2021,93,Ahmedabad
6/11/2021,83,Ahmedabad
6/12/2021,105,Ahmedabad
6/13/2021,108,Ahmedabad
6/14/2021,94,Ahmedabad
6/15/2021,109,Ahmedabad
6/16/2021,123,Ahmedabad
6/17/2021,116,Ahmedabad
6/18/2021,117,Ahmedabad
6/19/2021,118,Ahmedabad
6/20/2021,116,Ahmedabad
6/21/2021,138,Ahmedabad
6/22/2021,128,Ahmedabad
6/23/2021,128,Ahmedabad
6/24/2021,113,Ahmedabad
6/25/2021,107,Ahmedabad
6/26/2021,101,Ahmedabad
6/27/2021,87,Ahmedabad
6/28/2021,100,Ahmedabad
6/29/2021,103,Ahmedabad
6/30/2021,95,Ahmedabad
7/1/2021,82,Ahmedabad
7/2/2021,87,Ahmedabad
7/3/2021,89,Ahmedabad
7/4/2021,83,Ahmedabad
7/5/2021,83,Ahmedabad
7/6/2021,98,Ahmedabad
7/7/2021,103,Ahmedabad
7/8/2021,99,Ahmedabad
7/9/2021,90,Ahmedabad
7/10/2021,99,Ahmedabad
7/11/2021,109,Ahmedabad
7/12/2021,107,Ahmedabad
7/13/2021,94,Ahmedabad
7/14/2021,92,Ahmedabad
7/15/2021,109,Ahmedabad
7/16/2021,99,Ahmedabad
7/17/2021,84,Ahmedabad
7/18/2021,91,Ahmedabad
7/19/2021,104,Ahmedabad
7/20/2021,110,Ahmedabad
7/21/2021,94,Ahmedabad
7/22/2021,107,Ahmedabad
7/23/2021,108,Ahmedabad
7/24/2021,104,Ahmedabad
7/25/2021,95,Ahmedabad
7/26/2021,103,Ahmedabad
7/27/2021,95,Ahmedabad
7/28/2021,95,Ahmedabad
7/29/2021,90,Ahmedabad
7/30/2021,94,Ahmedabad
7/31/2021,98,Ahmedabad
8/1/2021,93,Ahmedabad
8/2/2021,87,Ahmedabad
8/3/2021,92,Ahmedabad
8/4/2021,102,Ahmedabad
8/5/2021,90,Ahmedabad
8/6/2021,94,Ahmedabad
8/7/2021,112,Ahmedabad
8/8/2021,111,Ahmedabad
8/9/2021,111,Ahmedabad
8/10/2021,108,Ahmedabad
8/11/2021,104,Ahmedabad
8/12/2021,108,Ahmedabad
8/13/2021,103,Ahmedabad
8/14/2021,97,Ahmedabad
8/15/2021,96,Ahmedabad
8/16/2021,105,Ahmedabad
8/17/2021,110,Ahmedabad
8/18/2021,111,Ahmedabad
8/19/2021,123,Ahmedabad
8/20/2021,119,Ahmedabad
8/21/2021,126,Ahmedabad
8/22/2021,109,Ahmedabad
8/23/2021,89,Ahmedabad
8/24/2021,106,Ahmedabad
8/25/2021,92,Ahmedabad
8/26/2021,108,Ahmedabad
8/27/2021,109,Ahmedabad
8/28/2021,114,Ahmedabad
8/29/2021,115,Ahmedabad
8/30/2021,112,Ahmedabad
8/31/2021,93,Ahmedabad
9/1/2021,92,Ahmedabad
9/2/2021,83,Ahmedabad
9/3/2021,82,Ahmedabad
9/4/2021,97,Ahmedabad
9/5/2021,92,Ahmedabad
9/6/2021,106,Ahmedabad
9/7/2021,102,Ahmedabad
9/8/2021,102,Ahmedabad
9/9/2021,99,Ahmedabad
9/10/2021,94,Ahmedabad
9/11/2021,91,Ahmedabad
9/12/2021,92,Ahmedabad
9/13/2021,85,Ahmedabad
9/14/2021,95,Ahmedabad
9/15/2021,94,Ahmedabad
9/16/2021,91,Ahmedabad
9/17/2021,96,Ahmedabad
9/18/2021,98,Ahmedabad
9/19/2021,102,Ahmedabad
9/20/2021,125,Ahmedabad
9/21/2021,179,Ahmedabad
9/22/2021,167,Ahmedabad
9/23/2021,140,Ahmedabad
9/24/2021,97,Ahmedabad
9/25/2021,118,Ahmedabad
9/26/2021,114,Ahmedabad
9/27/2021,115,Ahmedabad
9/28/2021,126,Ahmedabad
9/29/2021,77,Ahmedabad
9/30/2021,72,Ahmedabad
10/1/2021,96,Ahmedabad
10/2/2021,146,Ahmedabad
10/3/2021,113,Ahmedabad
10/4/2021,91,Ahmedabad
10/5/2021,109,Ahmedabad
10/6/2021,117,Ahmedabad
10/7/2021,134,Ahmedabad
10/8/2021,150,Ahmedabad
10/9/2021,141,Ahmedabad
10/10/2021,127,Ahmedabad
10/11/2021,154,Ahmedabad
10/12/2021,142,Ahmedabad
10/13/2021,131,Ahmedabad
10/14/2021,132,Ahmedabad
10/15/2021,119,Ahmedabad
10/16/2021,145,Ahmedabad
10/17/2021,137,Ahmedabad
10/18/2021,149,Ahmedabad
10/19/2021,94,Ahmedabad
